SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
,,,,,,,
,,,,,,,
1,Round 1,"National Institute of Technology, Warangal",Automobile Engineering,G1,EWS,461,445
2,Round 1,"National Institute of Technology, Warangal",Automobile Engineering,G1,ST,269,254
3,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,G1,ST,332,310
4,Round 1,"National Institute of Technology, Warangal",Engineering Structures,G1,SC,411,397
5,Round 1,"National Institute of Technology, Warangal",Power Systems Engineering,G1,OBC-NCL,464,455
6,Round 1,"National Institute of Technology, Warangal",Power Systems Engineering,G1,OPEN-PwD,257,257
7,Round 1,"National Institute of Technology, Warangal",Transportation Engineering,G1,OPEN,551,483
8,Round 1,"National Institute of Technology, Warangal",Thermal Engineering,G1,SC,408,341
9,Round 1,"National Institute of Technology, Warangal",Materials Technology,G2,SC,257,257
10,Round 1,"National Institute of Technology, Warangal",VLSI Systems Design,G1,OBC-NCL,628,608
11,Round 1,"National Institute of Technology, Warangal",Welding Technology and Non Destructive Testing,G1,SC,273,273
12,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Control and Automation,G1,ST,297,297
13,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Chemical Engineering,G1,OBC-NCL,345,335
14,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Manufacturing Engineering,G1,OPEN,402,359
15,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Data Science,G1,ST,302,298
16,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,G1,OBC-NCL,376,370
17,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,G1,ST,276,266
18,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Biomedical Engineering,G1,OBC-NCL,376,361
19,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",CAD-CAM,G1,SC,330,310
20,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Communication System Engineering,G1,ST,261,256
,,,,,,,
1,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,G1,EWS,363,344
2,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,G1,OBC-NCL,416,389
3,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Urban Planning,G2,SC,276,246
4,Round 1,"National Institute of Technology, Rourkela",Electronics and Instrumentation Engineering,G1,SC,367,345
5,Round 1,"National Institute of Technology, Rourkela",Environmental Engineering,G1,OPEN,463,436
6,Round 1,"National Institute of Technology, Rourkela",Food Process Engineering,G1,OPEN,588,472
7,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,G1,OBC-NCL,570,490
8,Round 1,"National Institute of Technology, Rourkela",VLSI Design & Embedded Systems,G1,OPEN-PwD,262,262
9,Round 1,"National Institute of Technology, Rourkela",Water Resources Engineering,G1,OBC-NCL,382,374
10,Round 1,"National Institute of Technology, Srinagar",Microelectronics,G1,OPEN,405,375
11,Round 1,"National Institute of Technology, Srinagar",Structural Engineering,G1,ST,339,253
12,Round 1,"National Institute of Technology, Srinagar",Water Resources Engineering,G1,SC,378,262
