SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
,,,,,,,
,,,,,,,
1,Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G1,OBC-NCL,421,396
2,Round 1,National Institute of Technology Calicut,Industrial Engineering & Management,G1,OBC-NCL,511,479
3,Round 1,National Institute of Technology Calicut,Computer Science & Engineering,G1,OPEN-PwD,235,235
4,Round 1,National Institute of Technology Delhi,Mathematics & Computing (MC),G1,SC,303,303
5,Round 1,National Institute of Technology Delhi,Mathematics & Computing (MC),G1,ST,232,232
6,Round 1,National Institute of Technology Delhi,Computer Aided Design & Manufacturing,G1,EWS,361,361
7,Round 1,National Institute of Technology Delhi,Computer Aided Design & Manufacturing,G1,OPEN,426,383
8,Round 1,National Institute of Technology Delhi,Computer Science & Engineering (Analytics),G1,SC,374,356
9,Round 1,National Institute of Technology Durgapur,Advanced Material Science & Technology,G1,OPEN,389,353
10,Round 1,National Institute of Technology Durgapur,Structural Engineering,G1,SC,357,304
11,Round 1,National Institute of Technology Durgapur,Electrical Engineering (Instrumentation and Control),G1,OBC-NCL,343,333
12,Round 1,National Institute of Technology Hamirpur,Civil Engineering (Geotechnical),G1,ST,263,263
13,Round 1,National Institute of Technology Hamirpur,Computer Science & Engineering,G1,OBC-NCL,449,416
14,Round 1,"National Institute of Technology Karnataka, Surathkal",Construction Technology and Management,G1,SC,382,355
15,Round 1,"National Institute of Technology Karnataka, Surathkal",Geotechnical Engineering,G1,ST,366,366
16,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechanical Design,G1,OPEN,634,623
17,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechanical Design,G1,ST,324,324
18,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechanical Design,G2,OBC-NCL,554,554
19,Round 1,"National Institute of Technology Karnataka, Surathkal",Mechanical Design,G3,EWS,528,528
20,Round 1,"National Institute of Technology Karnataka, Surathkal",Materials Engineering,G1,OBC-NCL,357,319
,,,,,,,
1,Round 1,"National Institute of Technology Karnataka, Surathkal",Manufacturing Engineering,G1,SC,308,301
2,Round 1,"National Institute of Technology Karnataka, Surathkal",Nanotechnology,G1,OPEN,553,486
3,Round 1,"National Institute of Technology Karnataka, Surathkal",Power & Energy Systems,G1,OBC-NCL,460,401
4,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,OBC-NCL,641,618
5,Round 1,National Institute of Technology Meghalaya,Computer Science & Engineering,G1,SC,303,280
6,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Control and Instrumentation Engineering,G2,SC,231,231
7,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,G1,OBC-NCL,420,397
8,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Thermal Engineering,G1,OBC-NCL,316,316
9,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering (Information Security),G1,EWS,412,412
10,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering (Information Security),G1,SC,322,318
11,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,SC,308,300
