Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
10591,National Spot Round,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OBC-NCL,370,332
10592,National Spot Round,"National Institute of Technology, Tiruchirappalli",Structural Engineering,Group 1,SC,332,332
10593,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",Structural Engineering,Group 1,OBC-NCL,352,352
10594,National Spot Round,"Sardar Vallabhbhai National Institute of Technology, Surat",Structural Engineering,Group 1,EWS,378,378
10595,National Spot Round,National Institute of Technology Patna,Structural Engineering,Group 1,OPEN,366,363
10596,National Spot Round,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,OPEN,374,374
10597,National Spot Round,National Institute of Technology Calicut,Structural Engineering,Group 1,OPEN,431,431
10598,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Structural Engineering,Group 1,OBC-NCL,457,434
10599,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Structural Engineering,Group 1,OPEN,472,472
10600,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Structural Engineering,Group 1,SC,294,291
10601,National Spot Round,National Institute of Technology Patna,Structural Engineering,Group 1,EWS,328,328
10602,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,Group 1,OBC-NCL,345,317
10603,National Spot Round,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,Group 1,OPEN,505,505
10604,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Structural Engineering,Group 1,OBC-NCL,416,359
10605,National Spot Round,National Institute of Technology Calicut,Structural Engineering,Group 1,OBC-NCL,431,397
10606,National Spot Round,"Indian Institute of Information Technology, Allahabad",M.Tech (Bioinformatics),Group 1,OPEN,413,413
10607,National Spot Round,Malaviya National Institute of Technology Jaipur,Transportation Engineering,Group 1,SC,293,293
10608,National Spot Round,Motilal Nehru National Institute of Technology Allahabad,Transportation Engineering,Group 1,OPEN,359,359
10609,National Spot Round,"National Institute of Technology Karnataka, Surathkal",Transportation Engineering,Group 1,SC,294,294
10610,National Spot Round,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,OBC-NCL,317,317
10611,National Spot Round,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,OPEN,385,385
10612,National Spot Round,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,SC,279,279
10613,National Spot Round,"National Institute of Technology, Warangal",Transportation Engineering,Group 1,OBC-NCL,359,344
10614,National Spot Round,"National Institute of Technology, Warangal",Transportation Engineering,Group 1,OPEN,401,401
10615,National Spot Round,"National Institute of Technology, Warangal",Transportation Engineering,Group 1,SC,260,260
