SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,Group 1,SC,354,301
2,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Power System,Group 1,ST,263,241
3,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Turbo Machines,Group 1,OBC,500,418
4,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Turbo Machines,Group 1,EWS,473,413
5,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Turbo Machines,Group 1,OPEN,577,503
6,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,SC,355,330
7,Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OBC,547,524
8,Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,EWS,543,502
9,Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,OPEN,653,570
10,Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,SC,373,346
11,Round 1,"National Institute of Technology, Rourkela",Control & Automation,Group 1,ST,244,241
12,Round 1,"National Institute of Technology, Rourkela",Chemical Engineering,Group 1,OBC,402,353
13,Round 1,"National Institute of Technology, Rourkela",Chemical Engineering,Group 1,EWS,406,365
14,Round 1,"National Institute of Technology, Rourkela",Chemical Engineering,Group 1,OPEN,479,448
15,Round 1,"National Institute of Technology, Rourkela",Chemical Engineering,Group 1,SC,231,231
16,Round 1,"National Institute of Technology, Rourkela",Cryogenics & Vacuum Technology,Group 1,OBC,510,416
17,Round 1,"National Institute of Technology, Rourkela",Cryogenics & Vacuum Technology,Group 1,EWS,486,430
18,Round 1,"National Institute of Technology, Rourkela",Cryogenics & Vacuum Technology,Group 1,OPEN,608,525
19,Round 1,"National Institute of Technology, Rourkela",Cryogenics & Vacuum Technology,Group 1,SC,305,241
20,Round 1,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,OBC,555,531
,,,,,,,
1,Round 1,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,EWS,560,522
2,Round 1,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,OPEN,622,583
3,Round 1,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,SC,388,369
4,Round 1,"National Institute of Technology, Rourkela",Communication & Networks,Group 1,ST,279,250
5,Round 1,"National Institute of Technology, Rourkela",Energy and Environmental Engineering,Group 1,OBC,495,479
6,Round 1,"National Institute of Technology, Rourkela",Energy and Environmental Engineering,Group 1,EWS,474,472
7,Round 1,"National Institute of Technology, Rourkela",Energy and Environmental Engineering,Group 1,OPEN,544,511
8,Round 1,"National Institute of Technology, Rourkela",Energy and Environmental Engineering,Group 1,SC,332,322
9,Round 1,"National Institute of Technology, Rourkela",Energy and Environmental Engineering,Group 1,ST,317,276
10,Round 1,"National Institute of Technology, Rourkela",Electronic Systems & Communication,Group 1,OBC,540,521
11,Round 1,"National Institute of Technology, Rourkela",Electronic Systems & Communication,Group 1,EWS,564,558
12,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Turbo Machines,Group 1,SC,255,255
13,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Turbo Machines,Group 1,ST,242,242
14,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Transportation Engineering & Planning,Group 1,OBC,501,481
15,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Transportation Engineering & Planning,Group 1,EWS,495,475
16,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Transportation Engineering & Planning,Group 1,OPEN,562,517
17,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Transportation Engineering & Planning,Group 1,SC,472,343
18,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Transportation Engineering & Planning,Group 1,ST,328,304
19,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,OBC,432,404
20,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,EWS,389,378
,,,,,,,
1,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,OPEN,579,494
2,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,OPEN-PwD,370,370
3,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,SC,296,272
4,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Urban Planning,Group 1,ST,269,265
5,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,OBC,567,536
6,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,EWS,588,569
7,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,OPEN,650,607
8,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,SC,450,369
9,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",VLSI & Embedded Systems,Group 1,ST,321,321
10,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Water Resource Engineering,Group 1,OBC,432,414
11,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Water Resource Engineering,Group 1,EWS,414,414
12,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Water Resource Engineering,Group 1,OPEN,517,459
13,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Water Resource Engineering,Group 1,SC,442,299
14,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Water Resource Engineering,Group 1,ST,305,290
15,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Engineering,Group 1,OBC,588,539
16,Round 1,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Engineering,Group 1,EWS,584,570
17,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Environmental Engineering,Group 1,SC,332,325
18,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Environmental Engineering,Group 1,ST,257,256
19,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Excavation Engineering,Group 1,OBC,414,385
20,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Excavation Engineering,Group 1,EWS,386,353
,,,,,,,
1,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Excavation Engineering,Group 1,OPEN,436,414
2,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Excavation Engineering,Group 1,SC,308,276
3,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,Group 1,OBC,501,475
