SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
4,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,Group 1,EWS,470,468
5,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,Group 1,OPEN,537,504
6,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,Group 1,SC,343,339
7,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Geotechnical Engineering,Group 1,ST,307,307
8,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,Group 1,OBC,549,522
9,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,Group 1,EWS,484,424
10,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,Group 1,OPEN,611,549
11,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,Group 1,SC,354,266
12,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Heat Power Engineering,Group 1,ST,301,301
13,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Industrial Engineering,Group 1,OBC,499,460
14,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Industrial Engineering,Group 1,EWS,427,416
15,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Industrial Engineering,Group 1,OPEN,577,522
16,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Industrial Engineering,Group 1,SC,306,240
17,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,Group 1,OBC,524,502
18,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,Group 1,EWS,486,471
19,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,Group 1,OPEN,613,543
20,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,Group 1,SC,362,305
,,,,,,,
1,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Integrated Power Systems,Group 1,ST,271,255
2,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Materials Engineering,Group 1,OBC,423,385
3,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Materials Engineering,Group 1,EWS,374,374
4,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Materials Engineering,Group 1,OPEN,499,426
5,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,Group 1,OBC,551,536
6,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,Group 1,EWS,547,490
7,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,Group 1,OPEN,623,555
8,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,Group 1,SC,396,339
9,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Power Electronics & Drives,Group 1,ST,252,252
10,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Process Metallurgy,Group 1,OBC,402,350
11,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Process Metallurgy,Group 1,OPEN,484,415
12,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,Group 1,OBC,486,454
13,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,Group 1,EWS,490,393
14,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,Group 1,OPEN,569,497
15,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,Group 1,SC,332,308
16,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Dynamics & Earthquake Engineering,Group 1,ST,253,253
17,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,OBC,558,548
18,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,EWS,584,544
19,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,OPEN,718,590
20,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,SC,527,378
,,,,,,,
1,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Structural Engineering,Group 1,ST,303,300
2,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,OBC,541,508
3,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,EWS,541,481
4,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,OPEN,594,541
5,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,SC,389,350
6,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Transportation Engineering,Group 1,ST,373,373
7,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,Group 1,OPEN,498,484
8,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,Group 1,SC,337,337
9,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,Group 2,EWS,402,402
10,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,Group 2,OPEN,487,487
11,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,Group 4,OBC,388,388
12,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,Group 4,EWS,457,457
13,Round 1,"Visvesvaraya National Institute of Technology, Nagpur",Engineering Applied to Medical Sciences,Group 4,OPEN,465,465
14,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,Group 1,OBC,441,421
15,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,Group 1,EWS,430,430
16,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,Group 1,OPEN,526,474
17,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,Group 1,SC,288,283
18,Round 1,"National Institute of Technology, Andhra Pradesh",Advanced Communication Systems and Signal Processing,Group 1,ST,267,267
19,Round 1,"National Institute of Technology, Andhra Pradesh",Bioprocess Engineering,Group 1,OBC,379,335
20,Round 1,"National Institute of Technology, Andhra Pradesh",Bioprocess Engineering,Group 1,EWS,345,345
,,,,,,,
1,Round 1,"National Institute of Technology, Andhra Pradesh",Bioprocess Engineering,Group 1,OPEN,502,477
2,Round 1,"National Institute of Technology, Andhra Pradesh",Bioprocess Engineering,Group 1,SC,203,203
3,Round 1,"National Institute of Technology, Andhra Pradesh",Chemical Engineering,Group 1,OBC,369,334
4,Round 1,"National Institute of Technology, Andhra Pradesh",Chemical Engineering,Group 1,EWS,353,353
5,Round 1,"National Institute of Technology, Andhra Pradesh",Chemical Engineering,Group 1,OPEN,470,443
6,Round 1,"National Institute of Technology, Andhra Pradesh",Chemical Engineering,Group 1,SC,232,232
7,Round 1,"National Institute of Technology, Andhra Pradesh",Computer Science and Data Analytics,Group 1,OBC,437,412
8,Round 1,"National Institute of Technology, Andhra Pradesh",Computer Science and Data Analytics,Group 1,EWS,499,488
9,Round 1,"National Institute of Technology, Andhra Pradesh",Computer Science and Data Analytics,Group 1,OPEN,605,527
10,Round 1,"National Institute of Technology, Andhra Pradesh",Computer Science and Data Analytics,Group 1,SC,389,343
11,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,Group 1,OBC,435,428
12,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,Group 1,EWS,446,446
13,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,Group 1,OPEN,527,485
14,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,Group 1,SC,297,297
15,Round 1,"National Institute of Technology, Andhra Pradesh",Geotechnical Engineering,Group 1,ST,263,263
16,Round 1,"National Institute of Technology, Andhra Pradesh",Manufacturing Engineering,Group 1,OBC,389,382
17,Round 1,"National Institute of Technology, Andhra Pradesh",Manufacturing Engineering,Group 1,EWS,392,392
18,Round 1,"National Institute of Technology, Andhra Pradesh",Manufacturing Engineering,Group 1,OPEN,529,407
19,Round 1,"National Institute of Technology, Andhra Pradesh",Manufacturing Engineering,Group 1,SC,240,240
20,Round 1,"National Institute of Technology, Andhra Pradesh",Power Electronics & Drives,Group 1,OBC,494,471
,,,,,,,
1,Round 1,"National Institute of Technology, Andhra Pradesh",Power Electronics & Drives,Group 1,EWS,452,452
2,Round 1,"National Institute of Technology, Andhra Pradesh",Power Electronics & Drives,Group 1,OPEN,524,498
3,Round 1,"National Institute of Technology, Andhra Pradesh",Power Electronics & Drives,Group 1,SC,343,324
4,Round 1,"National Institute of Technology, Andhra Pradesh",Power Electronics & Drives,Group 1,ST,248,248
5,Round 1,"National Institute of Technology, Andhra Pradesh",Thermal Engineering,Group 1,OBC,448,396
6,Round 1,"National Institute of Technology, Andhra Pradesh",Thermal Engineering,Group 1,EWS,423,423
7,Round 1,"National Institute of Technology, Andhra Pradesh",Thermal Engineering,Group 1,OPEN,522,453
8,Round 1,"National Institute of Technology, Andhra Pradesh",Thermal Engineering,Group 1,SC,274,274
9,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Biomedical Engineering,Group 1,OBC,369,350
10,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Biomedical Engineering,Group 1,EWS,381,364
11,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Biomedical Engineering,Group 1,OPEN,700,472
12,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Biomedical Engineering,Group 1,SC,306,252
13,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,OBC,566,434
14,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,EWS,415,415
15,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,OPEN,702,630
16,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Control System & Instrumentation,Group 1,SC,405,405
17,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,OBC,456,415
18,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,EWS,487,448
19,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,OPEN,566,488
20,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Mechatronics,Group 1,SC,343,259
,,,,,,,
1,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,OBC,445,419
2,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,EWS,433,415
3,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,OPEN,600,515
4,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,SC,414,392
5,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Information Technology,Group 1,ST,301,301
6,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,OBC,495,430
7,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,EWS,457,457
8,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,OPEN,583,537
9,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Machine Design,Group 1,SC,331,330
10,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Manufacturing Technology,Group 1,OBC,392,354
11,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Manufacturing Technology,Group 1,EWS,327,327
12,Round 1,"Indian Institute of Engineering Science and Technology, Shibpur, District Howrah",Manufacturing Technology,Group 1,OPEN,549,468
13,Round 1,"National Institute of Technology, Kurukshetra",Renewable Energy Systems,Group 3,ST,249,249
14,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,OBC,555,537
15,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,EWS,533,519
16,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,OPEN,623,558
17,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,SC,435,395
18,Round 1,"National Institute of Technology, Kurukshetra",Structural Engineering,Group 1,ST,396,339
19,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,OBC,504,478
20,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,EWS,491,472
,,,,,,,
1,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,OPEN,587,508
2,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,SC,472,382
3,Round 1,"National Institute of Technology, Kurukshetra",Transportation Engineering,Group 1,ST,328,321
4,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,OBC,537,488
5,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,EWS,525,482
6,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,OPEN,628,539
7,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,SC,396,263
8,Round 1,"National Institute of Technology, Kurukshetra",Thermal Engineering,Group 1,ST,252,252
9,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,OBC,505,451
10,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,EWS,464,441
11,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,OPEN,539,505
12,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,SC,452,354
13,Round 1,"National Institute of Technology, Kurukshetra",Power System,Group 1,ST,241,241
14,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,OBC,522,498
15,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,EWS,539,511
16,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,OPEN,588,541
17,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,SC,326,307
18,Round 1,"National Institute of Technology, Kurukshetra",Embedded System Design,Group 1,ST,261,261
19,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,Group 1,OBC,373,350
20,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,Group 1,OPEN,418,391
,,,,,,,
1,Round 1,National Institute of Technology Mizoram,Power Electronics & Drives,Group 1,SC,248,248
2,Round 1,National Institute of Technology Mizoram,Thermal Engineering,Group 1,OBC,333,333
3,Round 1,National Institute of Technology Mizoram,Thermal Engineering,Group 1,OPEN,392,354
4,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OBC,396,384
5,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,OPEN,496,450
6,Round 1,National Institute of Technology Mizoram,Computer Science & Engineering,Group 1,SC,270,270
7,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,OBC,449,400
8,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,EWS,396,362
9,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,OPEN,508,450
10,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,SC,308,272
11,Round 1,"National Institute of Technology, Rourkela",Atmosphere and Ocean Science,Group 1,ST,256,256
12,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OBC,424,370
13,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,EWS,397,397
14,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,OPEN,605,491
15,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 1,SC,223,223
16,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,OBC,523,523
17,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,EWS,524,524
18,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,OPEN,615,580
19,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 2,SC,353,353
20,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 3,OBC,493,479
,,,,,,,
1,Round 1,"National Institute of Technology, Rourkela",Biomedical Engineering,Group 3,OPEN,566,556
2,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OBC,453,399
3,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,EWS,482,448
4,Round 1,"National Institute of Technology, Rourkela",Biotechnology,Group 1,OPEN,654,563
5,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,EWS,611,608
6,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,OPEN,669,633
7,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,SC,464,437
8,Round 1,"National Institute of Technology, Rourkela",Information Security,Group 1,ST,304,304
9,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,OBC,511,511
10,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,EWS,493,493
11,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,OPEN,569,541
12,Round 1,"National Institute of Technology, Rourkela",Microwave and Radar Engineering,Group 1,SC,317,302
13,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,OBC,655,602
14,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,EWS,618,587
15,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,OPEN,705,655
16,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,SC,423,382
17,Round 1,"National Institute of Technology, Rourkela",Machine Design & Analysis,Group 1,ST,316,316
18,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,OBC,413,382
19,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,EWS,427,385
20,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,OPEN,516,445
,,,,,,,
1,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,SC,289,280
2,Round 1,"National Institute of Technology, Rourkela",Mining Engineering,Group 1,ST,246,246
3,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,OBC,619,581
4,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,EWS,615,615
5,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,OPEN,672,619
6,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,SC,415,400
7,Round 1,"National Institute of Technology, Rourkela",Power Electronics & Drives,Group 1,ST,297,286
8,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,OBC,577,552
9,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,EWS,571,562
10,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,OPEN,657,587
11,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,SC,396,377
12,Round 1,"National Institute of Technology, Rourkela",Power System Engineering,Group 1,ST,260,256
13,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,OBC,587,564
14,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,EWS,564,543
15,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,OPEN,626,604
16,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,SC,327,313
17,Round 1,"National Institute of Technology, Rourkela",Production Engineering,Group 1,ST,251,245
18,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,OBC,593,550
19,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,EWS,602,602
20,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,OPEN,669,627
,,,,,,,
1,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,SC,424,423
2,Round 1,"National Institute of Technology, Rourkela",Software Engineering,Group 1,ST,370,295
3,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,OBC,579,526
4,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,EWS,560,498
5,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,OPEN,641,588
6,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,SC,445,348
7,Round 1,"National Institute of Technology, Rourkela",Signal & Image Processing,Group 1,ST,259,259
8,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OBC,584,576
9,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,EWS,570,566
10,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,OPEN,641,605
11,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,SC,515,446
12,Round 1,"National Institute of Technology, Rourkela",Structural Engineering,Group 1,ST,393,343
13,Round 1,"National Institute of Technology, Rourkela",Transportation Engineering,Group 1,OBC,538,520
