SNo,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
2,Round 1,"National Institute of Advanced manufacturing Technology, Hatia, Ranchi",Foundry Forge Technology,G1,OPEN,402,402
3,Round 1,Malaviya National Institute of Technology Jaipur,Environmental Engineering,G1,SC,423,339
4,Round 1,"National Institute of Technology Karnataka, Surathkal",Transportation Engineering,G1,OPEN,580,545
5,Round 1,Maulana Azad National Institute of Technology Bhopal,Computer Networking,G1,SC,306,301
6,Round 1,Maulana Azad National Institute of Technology Bhopal,Computer Networking,G1,ST,240,240
7,Round 1,"National Institute of Technology, Warangal",Electronic Instrumentation and Embedded Systems,G1,EWS,600,596
8,Round 1,"National Institute of Technology, Tiruchirappalli",Environmental Engineering,G2,SC,245,245
9,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,G1,OBC-NCL,359,315
10,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,G1,OPEN,460,379
11,Round 1,University of Hyderabad,Artificial Intelligence,G1,EWS,460,366
12,Round 1,University of Hyderabad,Artificial Intelligence,G1,OPEN,565,477
13,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Environmental  Planning),G3,OPEN,551,526
14,Round 1,"School of Planning and Architecture, Bhopal",M.Plan. (Environmental  Planning),G3,SC,253,253
15,Round 1,Malaviya National Institute of Technology Jaipur,Metallurgical & Materials Engineering,G1,EWS,344,344
16,Round 1,Malaviya National Institute of Technology Jaipur,Metallurgical & Materials Engineering,G1,OPEN,445,382
17,Round 1,"National Institute of Technology Karnataka, Surathkal",Thermal Engineering,G1,EWS,630,625
18,Round 1,Maulana Azad National Institute of Technology Bhopal,Smart Manufacturing,G1,OBC-NCL,374,347
19,Round 1,"National Institute of Technology, Warangal",Power Systems Engineering,G1,EWS,585,550
20,Round 1,"National Institute of Technology, Tiruchirappalli",Energy Engineering,G4,OPEN,499,499
,,,,,,,
1,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Sensor Technology,G1,SC,267,257
2,Round 1,University of Hyderabad,Artificial Intelligence,G1,SC,289,245
3,Round 1,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,G1,OBC-NCL,394,324
4,Round 1,Malaviya National Institute of Technology Jaipur,Industrial Engineering,G1,OBC-NCL,476,403
5,Round 1,Malaviya National Institute of Technology Jaipur,Industrial Engineering,G1,EWS,472,472
6,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biotechnology,G1,OPEN,821,499
7,Round 1,"National Institute of Technology, Warangal",Power Systems Engineering,G1,OPEN,628,596
8,Round 1,"National Institute of Technology, Tiruchirappalli",Communication Systems,G1,ST,275,263
9,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Electronics and Communication Engineering (VLSI and Embedded System),G1,OPEN,633,467
10,Round 1,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,G1,EWS,411,381
11,Round 1,Malaviya National Institute of Technology Jaipur,Industrial Engineering,G1,ST,347,347
12,Round 1,"National Institute of Technology Karnataka, Surathkal",VLSI Design,G1,OBC-NCL,707,689
13,Round 1,"National Institute of Technology Karnataka, Surathkal",VLSI Design,G1,EWS,721,710
14,Round 1,Maulana Azad National Institute of Technology Bhopal,Power System,G1,SC,346,300
15,Round 1,Maulana Azad National Institute of Technology Bhopal,Power System,G1,ST,307,307
16,Round 1,"National Institute of Technology, Warangal",Electronic Instrumentation and Embedded Systems,G1,OPEN,646,600
17,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Automation and Robotics,G1,OPEN-PwD,375,375
18,Round 1,University of Hyderabad,Materials Engineering,G1,OPEN,452,365
19,Round 1,University of Hyderabad,Bio-informatics,G1,EWS,421,325
20,Round 1,Sant Longowal Institute of Engineering and Technology,Food Engineering & Technology,G1,OBC-NCL,306,306
,,,,,,,
1,Round 1,Malaviya National Institute of Technology Jaipur,Material Science & Engineering,G1,OBC-NCL,338,338
2,Round 1,"National Institute of Technology Karnataka, Surathkal",VLSI Design,G1,ST,430,388
3,Round 1,"National Institute of Technology, Warangal",Machine Design,G1,OPEN,744,677
4,Round 1,"National Institute of Technology, Tiruchirappalli",Data Analytics,G1,OBC-NCL,683,632
5,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Automation and Robotics,G1,SC,285,275
6,Round 1,University of Hyderabad,Bio-informatics,G1,OPEN,578,466
7,Round 1,University of Hyderabad,Bio-informatics,G1,SC,246,201
8,Round 1,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,G1,SC,328,286
9,Round 1,Malaviya National Institute of Technology Jaipur,Power Electronics & Drives,G1,OBC-NCL,510,471
10,Round 1,"National Institute of Technology Karnataka, Surathkal",Water Resources Engineering & Management,G1,SC,375,332
11,Round 1,Maulana Azad National Institute of Technology Bhopal,Urban Planning,G1,OBC-NCL,490,381
12,Round 1,Maulana Azad National Institute of Technology Bhopal,Urban Planning,G1,OPEN,654,514
13,Round 1,"National Institute of Technology, Warangal",Machine Design,G1,SC,432,427
14,Round 1,"National Institute of Technology, Tiruchirappalli",Environmental Engineering,G3,OBC-NCL,550,550
15,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Quantum Computing,G1,EWS,392,392
16,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Quantum Computing,G1,OPEN,714,457
17,Round 1,University of Hyderabad,Bio-informatics,G1,ST,226,206
18,Round 1,"Indian Institute of Information Technology, Kota",Computer Science and Engineering with Specialization in Artificial Intelligence and Data Science,G1,ST,254,254
19,Round 1,Malaviya National Institute of Technology Jaipur,Power Electronics & Drives,G1,ST,328,248
20,Round 1,Malaviya National Institute of Technology Jaipur,Power Systems Management,G1,OBC-NCL,425,371
,,,,,,,
1,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering (Information Security),G1,EWS,626,622
2,Round 1,Maulana Azad National Institute of Technology Bhopal,Smart Manufacturing,G1,OPEN,484,398
3,Round 1,Maulana Azad National Institute of Technology Bhopal,Smart Manufacturing,G1,SC,314,292
4,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,G1,OBC-NCL,426,388
5,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,G1,EWS,366,366
6,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (UAVs),G1,EWS,426,426
7,Round 1,University of Hyderabad,Materials Engineering,G1,SC,247,247
8,Round 1,University of Hyderabad,Nanoscience and Technology,G1,OBC-NCL,352,352
9,Round 1,Sant Longowal Institute of Engineering and Technology,Food Engineering & Technology,G1,OPEN,604,366
10,Round 1,Malaviya National Institute of Technology Jaipur,Power Systems,G1,EWS,377,364
11,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,OBC-NCL,670,648
12,Round 1,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,G1,OBC-NCL,512,488
13,Round 1,"National Institute of Technology, Warangal",Manufacturing Engineering,G1,EWS,582,543
14,Round 1,"National Institute of Technology, Tiruchirappalli",Data Analytics,G1,EWS,688,664
15,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (UAVs),G1,OPEN,599,491
16,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",VLSI & Embedded Systems,G1,OPEN,520,500
17,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",VLSI & Embedded Systems,G1,SC,345,345
18,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Signal Processing and Machine Learning,G1,SC,237,237
19,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",VLSI & Embedded Systems,G1,OBC-NCL,442,442
20,Round 1,Malaviya National Institute of Technology Jaipur,Power Systems,G1,ST,275,250
,,,,,,,
1,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,EWS,705,692
2,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,OPEN,758,710
3,Round 1,National Institute of Technology Durgapur,Electrical Engineering (Instrumentation and Control),G1,OBC-NCL,407,379
4,Round 1,National Institute of Technology Durgapur,Electrical Engineering (Instrumentation and Control),G1,EWS,364,332
5,Round 1,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,G1,EWS,526,515
6,Round 1,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,G1,OPEN,588,533
7,Round 1,"National Institute of Technology, Warangal",Manufacturing Engineering,G1,OPEN,634,606
8,Round 1,"National Institute of Technology, Tiruchirappalli",Data Analytics,G1,OPEN,745,692
9,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Quantum Computing,G1,SC,328,262
10,Round 1,School of Planning & Architecture: Vijayawada,Urban & Regional Planning,G1,SC,500,442
11,Round 1,School of Planning & Architecture: Vijayawada,Urban & Regional Planning,G1,ST,375,375
12,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Artificial Intelligence & Data Science,G1,OBC-NCL,464,464
13,Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G1,OPEN,465,449
14,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,OPEN-PwD,267,267
15,Round 1,"National Institute of Technology Karnataka, Surathkal",Computer Science & Engineering,G1,SC,499,490
16,Round 1,National Institute of Technology Durgapur,Operations Research,G1,SC,331,306
17,Round 1,National Institute of Technology Durgapur,Operations Research,G1,ST,265,201
18,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G1,OBC-NCL,410,371
19,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,G1,OPEN,516,460
20,Round 1,"National Institute of Technology, Tiruchirappalli",Environmental Engineering,G3,OPEN,571,571
,,,,,,,
1,Round 1,"Defence Institute of Advanced Technology (Deemed to be University), Girinagar, Pune",Aerospace Engineering (Guided Missiles),G1,SC,400,300
2,Round 1,"Shri Mata Vaishno Devi University, Katra",Electronics and Communication Engineering,G1,OPEN,355,350
3,Round 1,"National Institute of Electronics and Information Technology, Aurangabad",Electronics Design & Technology,G1,EWS,323,323
4,Round 1,"Indian Institute of Information Technology, Bhagalpur, Bihar",Artificial Intelligence & Data Science,G1,OPEN,664,543
5,Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G2,EWS,433,433
6,Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G2,OPEN,436,433
7,Round 1,National Institute of Technology Meghalaya,Fluids & Thermal Engineering,G1,OPEN,416,359
8,Round 1,National Institute of Technology Durgapur,Power Electronics & Machine Drives,G1,OBC-NCL,500,457
9,Round 1,National Institute of Technology Durgapur,Power Electronics & Machine Drives,G1,EWS,396,389
10,Round 1,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,G1,OPEN,728,522
11,Round 1,"National Institute of Technology, Warangal",Industrial Metallurgy,G1,OPEN,496,456
12,Round 1,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,G1,EWS,414,408
13,Round 1,"National Institute of Technology, Tiruchirappalli",Chemical Engineering,G1,OPEN,529,461
